other,condition,cylinders,drive,fuel,odometer,paint color,size,title status,transmission,type,VIN
2019 Volkswagen Tiguan,excellent,4 cylinders,4wd,gas,26668,grey,mid-size,clean,automatic,SUV,3VV2B7AX4KM190104
2009 Toyota PRIUS||more ads  by this user        |,excellent,4 cylinders,,gas,200214,,,clean,other,sedan,JTDKB20U093522432
2011 Chevrolet TRAVERSE LS||more ads  by this user        |,excellent,6 cylinders,4wd,gas,146621,,,clean,automatic,SUV,1GNKVEED0BJ328056
2015 Ford FIESTA SE||more ads  by this user        |,excellent,4 cylinders,,gas,93444,,,clean,automatic,sedan,3FADP4BJ4FM141403
2012 Hyundai ELANTRA GLS||more ads  by this user        |,excellent,4 cylinders,,gas,84587,,,clean,automatic,sedan,KMHDH4AE8CU294980
2014 Chevrolet MALIBU 1LT||more ads  by this user        |,excellent,4 cylinders,,gas,121577,,,clean,automatic,sedan,1G11C5SL0EF233115
2014 Ford ESCAPE SE||more ads  by this user        |,excellent,4 cylinders,4wd,gas,114017,,,clean,automatic,SUV,1FMCU9GX6EUC54719
2018 Ford ESCAPE SE||more ads  by this user        |,excellent,4 cylinders,,gas,154051,,,clean,automatic,SUV,1FMCU0GD1JUD06060
2012 Ford FOCUS SEL||more ads  by this user        |,excellent,4 cylinders,,gas,117639,,,clean,automatic,sedan,1FAHP3H29CL405935
2015 Buick ENCORE||more ads  by this user        |,excellent,4 cylinders,4wd,gas,88684,,,clean,automatic,SUV,KL4CJGSBXFB176790
2014 Ford FUSION SE||more ads  by this user        |,excellent,4 cylinders,,gas,25098,,,clean,automatic,sedan,1FA6P0H71E5405372
2016 Jeep Wrangler Unlimited,excellent,6 cylinders,4wd,gas,103127,,mid-size,clean,automatic,SUV,1C4BJWEG3GL103291
2007 dodge ram 2500 slt,excellent,8 cylinders,4wd,gas,76000,brown,full-size,clean,automatic,truck,
2013 Mazda 2,good,4 cylinders,fwd,gas,91808,,,clean,automatic,hatchback,
2008 dodge avenger r/t,excellent,6 cylinders,fwd,gas,148500,black,mid-size,clean,automatic,sedan,
2008 2008 Honda Civic Si,excellent,4 cylinders,fwd,gas,129055,black,compact,clean,manual,sedan,
2011 GMC Acadia,good,6 cylinders,4wd,gas,120584,black,full-size,clean,automatic,SUV,1GKKVTEDXBJ233988
