condition,price,ended,vin,make,model,ebay_item_id,winning_bid
used,"US $27,990.0","Apr 24, 2023|09:46:32 PD",5YJ3E1EA0LF645338,Tesla,,185850572019,
used,"US $32,000.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","Mar 27, 2023|11:47:13 PD",5YJ3E1EB2JF184391,Tesla,,125847028747,
used,"US $17,950.0","Mar 13, 2023|03:39:40 PD",5YJ3E1EB0NF289937,Tesla,AWD Long Range 4dr Sedan,175646102405,
used,"US $14,950.0","Mar 21, 2023|23:11:02 PD",5YJ3E1EAXNF187245,Tesla,4dr Sedan,175657202032,
used,"US $30,500.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","Apr 14, 2023|20:00:19 PD",5YJ3E1EA0LF739087,Tesla,,185830670445,
used,"US $45,950.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","Mar 17, 2023|16:25:38 PD",5YJYGDEE7MF198626,Tesla,,256001751238,
used,"US $45,500.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","May 11, 2023|18:21:40 PD",5YJSA1E48HF218286,Tesla,,304930007661,
used,"US $17,950.0","Mar 13, 2023|03:43:50 PD",5YJ3E1EAXNF184748,Tesla,4dr Sedan,175646103120,
used,"US $35,500.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","May 01, 2023|06:30:58 PD",5YJSA1E17HF185819,Tesla,2017 Tesla Model S 75 Sedan,325605812825,
"Certified pre-owned: To qualify for certified pre-owned status, vehicles must meet strict age, ...  Read moreabout the conditionCertified pre-owned: To qualify for certified pre-owned status, vehicles must meet strict age, mileage, and inspection requirements established by their manufacturers. Certified pre-owned cars are often sold with warranty, financing and roadside assistance options similar to their new counterparts. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ","US $54,999.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","Feb 26, 2023|16:28:46 PS",7saygdef6nf463999,Tesla,,195619870679,
used,"US $32,900.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","Feb 24, 2023|10:47:05 PS",5YJSA4H48FF093574,Tesla,,195602792383,
used,"US $49,900.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","Apr 16, 2023|08:35:29 PD",7SAYGDEE4NF533944,Tesla,Long Range,145024963278,
used,"US $29,950.0","Mar 08, 2023|09:19:54 PS",5YJ3E1EB1JF181949,Tesla,"AWD Long Range,  Dual Motor, Boost 3.1 0-60",225430947430,
used,"US $31,500.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","Mar 05, 2023|16:38:33 PS",5YJ3E1EA0LF739087,Tesla,,185790424152,
used,"US $29,999.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","Apr 21, 2023|12:20:41 PD",5YJ3E1EA2KF313464,Tesla,,166012707978,
used,,"Mar 31, 2023|20:44:43 PD",5YJ3E1EA6LF745377,Tesla,,225494835581,"US $29,100.0"
used,,"Mar 19, 2023|18:48:33 PD",5YJ3E1EA6LF745377,Tesla,,225477748085,"US $30,100.0"
used,,"Feb 27, 2023|11:26:20 PS",5YJ3E1EA6LF745377,Tesla,,225436270181,"US $25,100.0"
used,"US $43,000.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","May 01, 2023|14:40:18 PD",7SAYGDEEXNF386660,Tesla,,295659250371,
used,"US $12,000.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","Feb 25, 2023|19:24:03 PS",5YJSA1CN0CFP02490,Tesla,,285142090948,
used,|,"Apr 28, 2023|09:14:54 PD",5YJSA1E2XGF144611,Tesla,,115749248760,
used,"US $42,500.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","May 02, 2023|20:44:57 PD",5YJ3E1EC3LF746889,Tesla,Performance,195704805596,
used,"US $78,999.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","Mar 28, 2023|09:14:02 PD",5YJSA1E46GF171435,Tesla,Model S,185815646837,
used,"US $25,000.0","Mar 14, 2023|10:48:54 PD",5YJ3E1EA4JF171259,Tesla,,204253318745,
